Date,Link,Headline,Description
4/9/2021,news.google.com/./articles/CAIiEPU1A49jS3c-rEcUCXsb218qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-US&gl=US&ceid=US%3Aen,Bitcoin Is Displacing Gold as an Inflation Hedge,The digital asset's increasing scale has made it a more viable competitor to the traditional protector against currency debasement.
4/9/2021,news.google.com/./articles/CBMigAFodHRwczovL25haXJhbWV0cmljcy5jb20vMjAyMS8wNC8wOS9tZWV0LXRoZS1iaWxsaW9uYWlyZS10d2lucy13aG8tYm91Z2h0LTEwbS13b3J0aC1vZi1iaXRjb2luLXdoZW4taXQtc3RpbGwtc29sZC1mb3IlRTIlODAlQUY4L9IBAA?hl=en-US&gl=US&ceid=US%3Aen,Meet the billionaire twins who bought $10m worth of Bitcoin when it still sold for $8,The two identical twins who were crazy enough to invest heavily into cryptocurrency. The twins started investing in Bitcoin as early as 2012.
4/9/2021,news.google.com/./articles/CBMiXWh0dHBzOi8vd3d3LmZvb2wuY29tL2ludmVzdGluZy8yMDIxLzA0LzA5L2NvaW5iYXNlLWlwby1pcy1uZXh0LXdlZWstaGVyZXMtZXZlcnl0aGluZy15b3UtbmVlL9IBYWh0dHBzOi8vd3d3LmZvb2wuY29tL2FtcC9pbnZlc3RpbmcvMjAyMS8wNC8wOS9jb2luYmFzZS1pcG8taXMtbmV4dC13ZWVrLWhlcmVzLWV2ZXJ5dGhpbmcteW91LW5lZS8?hl=en-US&gl=US&ceid=US%3Aen,Coinbase's IPO Is Next Week: Here's Everything You Need to Know,"One of the most high-profile public listings to hit the market this year will no doubt be Coinbase Global, the leading cryptocurrency exchange in the U.S. ..."
4/9/2021,news.google.com/./articles/CBMiQ2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9uby1zdGltbXktcmFsbHktd2h5LTEtMTEwMDAwMzI2Lmh0bWzSAUtodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9uby1zdGltbXktcmFsbHktd2h5LTEtMTEwMDAwMzI2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,"No 'Stimmy' Rally: Why the $1,400 Checks Brought So Little Bitcoin Stimulus","U.S. cryptocurrency exchanges say they've begun to see an uptick in customers buying bitcoin (BTC) or other digital tokens with their $1,400 stimulus checks ..."
4/7/2021,news.google.com/./articles/CAIiEFDQgM32CbmOpXdZaOdn6jkqFQgEKg0IACoGCAowrqkBMKBFMLKAAg?hl=en-US&gl=US&ceid=US%3Aen,"Coinbase, Bitcoin, And Some Longer Term Implications Of Coinbase Going Public","The upcoming direct listing of Coinbase is making many well-deserved headlines, but let's take a look at a few of the longer term implications that could result ..."
4/9/2021,news.google.com/./articles/CBMiVWh0dHBzOi8vY2EuZmluYW5jZS55YWhvby5jb20vbmV3cy90aGluay1iaXRjb2luLWJvdW5jZS1oaXZlLWJsb2NrY2hhaW4tMTIwMDU4MDI2Lmh0bWzSAV1odHRwczovL2NhLmZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy90aGluay1iaXRjb2luLWJvdW5jZS1oaXZlLWJsb2NrY2hhaW4tMTIwMDU4MDI2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen,Think Bitcoin Will Bounce? HIVE Blockchain Stock May Be the Horse to Bet On,HIVE Blockchain stock (TSXV:HIVE) may be a better way to trade Bitcoin and cryptocurrencies if you think the momentum will continue through 2021. The post ...
4/9/2021,news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3LnRoZXN0cmVldC5jb20vY3J5cHRvL2JpdGNvaW4vYml0Y29pbi1ldGYtd2hhdC15b3UtbmVlZC10by1rbm930gFPaHR0cHM6Ly93d3cudGhlc3RyZWV0LmNvbS9jcnlwdG8vLmFtcC9iaXRjb2luL2JpdGNvaW4tZXRmLXdoYXQteW91LW5lZWQtdG8ta25vdw?hl=en-US&gl=US&ceid=US%3Aen,Bitcoin ETFs: When They Come Out and What You Need to Know,A Bitcoin ETF could be around the corner. Here's how it could change Bitcoin and what you need to know.
4/6/2021,news.google.com/./articles/CAIiEMIZOUOTy-cQAs5nOqeCz4EqGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-US&gl=US&ceid=US%3Aen,Bitcoin (BTC USD) Cryptocurrency Price: Singapore Warns Public Against Crypto,"Mining devices at the CryptoUniverse cryptocurrency mining farm in Nadvoitsy, Russia. Photographer: Andrey Rudakov/Bloomberg"
4/7/2021,news.google.com/./articles/CBMiTmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9yaXBwbGUtY3RvLWV2aWRlbmNlLXN1Z2dlc3RzLXhycC0yMTA2MTA4NDguaHRtbNIBVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL3JpcHBsZS1jdG8tZXZpZGVuY2Utc3VnZ2VzdHMteHJwLTIxMDYxMDg0OC5odG1s?hl=en-US&gl=US&ceid=US%3Aen,"Ripple CTO: 'All the Evidence' Suggests XRP and Bitcoin Are Similar, Contrary to SEC","The chief technology officer (CTO) of Ripple, David Schwartz, said on CoinDesk TV that “all the evidence” suggests bitcoin and XRP are similar despite ..."
4/7/2021,news.google.com/./articles/CAIiEDotsG4KsB4LXzFBYsTmr_8qFggEKg4IACoGCAowxLQ_MNevCDD45Co?hl=en-US&gl=US&ceid=US%3Aen,Bitcoin boom minted nine new cryptocurrency billionaires in one year,"NEW DELHI: From the 40% plunge in a day to below $5,000 on 11 March 2020, Bitcoin has come a long way to hit its all-time high of $61,711.87 on 13 March ..."
