Date,Open,High,Low,Close,Adj Close,Volume
2020-10-01,49.439999,49.660000,48.590000,49.180000,48.797386,17577300
2020-10-02,48.759998,49.580002,48.549999,49.360001,48.975986,13610100
2020-10-05,49.430000,49.549999,49.119999,49.380001,48.995831,10628700
2020-10-06,49.549999,49.730000,48.830002,48.939999,48.559250,10077400
2020-10-07,49.020000,49.759998,48.950001,49.560001,49.174431,10135600
2020-10-08,49.709999,50.540001,49.540001,50.459999,50.067425,12143900
2020-10-09,50.669998,51.230000,50.599998,50.810001,50.414703,11407800
2020-10-12,50.840000,51.529999,50.830002,51.090000,50.692524,11386500
2020-10-13,50.990002,50.990002,49.900002,50.220001,49.829296,14365300
2020-10-14,50.049999,50.490002,49.650002,50.119999,49.730072,10582900
2020-10-15,49.400002,50.130001,49.299999,49.990002,49.601086,9961700
2020-10-16,49.990002,50.349998,49.869999,50.029999,49.640770,13569800
2020-10-19,50.029999,50.480000,49.459999,49.619999,49.233959,9930400
2020-10-20,49.889999,50.619999,49.790001,50.250000,49.859058,10970700
2020-10-21,49.959999,50.430000,49.770000,49.990002,49.601086,12517400
2020-10-22,51.169998,51.200001,50.380001,50.680000,50.285717,20189200
2020-10-23,51.000000,51.180000,50.470001,50.520000,50.126961,13491300
2020-10-26,50.340000,50.509998,49.200001,49.799999,49.412560,14696400
2020-10-27,49.810001,50.290001,49.549999,49.900002,49.511784,13892100
2020-10-28,49.000000,49.150002,47.779999,47.959999,47.586876,19886200
2020-10-29,47.730000,48.480000,47.299999,48.020000,47.646408,15369900
2020-10-30,47.810001,48.119999,47.369999,48.060001,47.686100,15804000
